business_id,full_address,active,categories,review_count,business_name,latitude,longitude,stars,,
-4A5xmN21zi_TXnUESauUQ,2613 N Scottsdale Rd Scottsdale AZ 85257,TRUE,Breakfast & Brunch American (New) Sandwiches Restaurants,255,D'lish,33.477178,-111.925799,4.5,,
-4QayefhaPXm6wPp-Zpb0A,8399 W Lynwood St Tolleson AZ 85353,TRUE,Hotels & Travel Event Planning & Services Hotels,3,Premier Inn,33.464005,-112.238603,4.5,,
-4zMr3jk0ykmsk5sxsQMlA,1996 N Alma School Road Chandler AZ 85224,TRUE,Department Stores Fashion Shopping,5,99 Cents Only Store,33.335144,-111.859078,4,,
-5EWgRkudDlcCbQSIL_twA,408 E Roosevelt St Phoenix AZ 85004,TRUE,Food Arts & Entertainment Street Vendors Festivals,12,Phoenix Food Truck Festival,33.459023,-112.068175,2,,
-5IgAihccTd8_iENVgpd9A,8473 W Paradise Ln Peoria AZ 85382,TRUE,Hotels & Travel Event Planning & Services Hotels,3,Comfort Suites,33.636836,-112.236722,3.5,,
-5rFC4EVrT-v8g1PSEf6Xg,3145 N Dysart Rd C102 Avondale AZ 85392,TRUE,Asian Fusion Restaurants,35,Eest Asian Bistro,33.482389,-112.340851,4,,
-5XAZC1hC6G0NDkmPyhmUg,714 S Val Vista Drive Gilbert AZ 85296,TRUE,Food Grocery,5,Fry's Food & Drug Stores & Fry's Marketplace,33.337209,-111.75595,3.5,,
-65rmLRQ5JDwI-l8UDEV7Q,911 S Lindsay Rd Gilbert AZ 85296,TRUE,Hair Salons Beauty & Spas,3,Arizona Hair Company,33.333651,-111.772791,3.5,,
-6O53B-ksqSKzWM6Y9moEQ,75 W Baseline Rd Ste 12 Gilbert AZ 85233,TRUE,Nightlife Bars Sports Bars Restaurants,7,Mesquite Grill and Sports Bar,33.37833,-111.832387,2.5,,
-6Roo-EHgSdUa4rP3tWyRw,2800 W Chandler Blvd Chandler AZ 85224,TRUE,Breakfast & Brunch American (Traditional) Restaurants,42,Mimis Cafe,33.306411,-111.89307,3.5,,
-6yIYUuwYcZnClI_8_ojVg,16551 N Dysart Rd Ste 107 Surprise AZ 85374,TRUE,Active Life Martial Arts Fitness & Instruction,3,Guns Plus,33.63636,-112.37466,2.5,,
-73hx2hut_2KPcGpCTO5YA,6204 N Scottsdale Rd Ste 103 Scottsdale AZ 85253,TRUE,Food Ice Cream & Frozen Yogurt,15,U-Swirl,33.52785,-111.925884,3,,
-7smFzvh2E2fOOYs-0Dl8w,3440 E Baseline Rd Mesa AZ 85234,TRUE,Sandwiches Restaurants,4,Chipotle,33.379624,-111.755987,4.5,,
-7XuLxfYwZ9x72mEKXdv0A,5037 W Thomas Rd Phoenix AZ 85035,TRUE,Chinese Restaurants,7,Lin's Golden Chinese Restaurant,33.48001,-112.167718,4.5,,
-8aZ0v511M1zpoZAC3N3VA,930 W Broadway Rd Ste 10 Tempe AZ 85282,TRUE,Food Weight Loss Centers Juice Bars & Smoothies Health & Medical,7,Nutrition 101,33.40777,-111.953717,4,,
-8IvK1VBMRqYY6CQzD6arg,701 E Thunderbird Trl Phoenix AZ 85042,TRUE,Active Life Golf,13,Vistal Golf Club,33.358207,-112.064195,3,,
-8PVP-Pnv232xPOUgPrxmg,2727 W Agua Fria Fwy Phoenix AZ 85027,TRUE,Department Stores Fashion Shopping Drugstores,3,Target Stores,33.666611,-112.118879,3.5,,
-8vrk9UzM2oIey95PZOHuA,9251 W Union Hills Drive Peoria AZ 85382,TRUE,Restaurants,5,Kfc,33.652158,-112.257284,1.5,,
-8wyZkzfBmCFkMwCGcR4PQ,4700 N 16th St Phoenix AZ 85016,FALSE,Sandwiches Restaurants,33,Pugzie's,33.505884,-112.047907,3.5,,
-8Z6AiHwXInpnl6Q1Ey_5w,4727 E Bell Rd Phoenix AZ 85032,TRUE,Sporting Goods Bikes Shopping,4,Palo Verde Bike Shop,33.638405,-111.979837,2,,
-92fePI5W6MwOaxMxphFjA,Arrowhead Mall 7700 W Arrowhead Towne Center Rd Glendale AZ 85308,TRUE,Food,6,My Big Fat Greek Express,33.641598,-112.225578,3.5,,
-98noPZy1sH6NndWmdtuDw,21001 North Tatum Blvd Phoenix AZ 85073,TRUE,Sandwiches Restaurants,5,Port of Subs,33.4499,-112.0739,2.5,,
-9meXYVIw8yFg_yMG5RvCw,7171 W Chandler Blvd Chandler AZ 85226,TRUE,Hotels & Travel Event Planning & Services Hotels,3,Super 8 Motel,33.305197,-111.966016,3.5,,
-9pVS__IliMA2aNEYzrQrg,4363 N 75th St Scottsdale AZ 85251,TRUE,Nightlife Bars American (Traditional) Sports Bars Restaurants,107,American Junkie,33.500169,-111.919817,3,,
-A5CFmkgdMEggaihtyxX4Q,901 N 4th St Phoenix AZ 85004,FALSE,Bars Nightlife Dance Clubs,12,nextDOOR,33.457863,-112.068359,3.5,,
-A82xEVAjOYZtDdRQw1FQw,4727 E Bell Rd Ste 47 Phoenix AZ 85032,TRUE,Shopping Home & Garden Appliances,5,Best Home Appliances,33.638405,-111.979837,5,,
-AAig9FG0s8gYE4f8GfowQ,4404 N Central Ave Phoenix AZ 85012,TRUE,Pizza Italian Sandwiches Restaurants,278,Pane Bianco,33.500653,-112.073969,4.5,,
-aBTFWuluGAJId7C4KNqeQ,3505 E Union Hills Dr Phoenix AZ 85050,TRUE,Active Life Golf Parks,7,Paradise Valley Park Golf Course,33.654307,-112.007407,3,,
-AcBphGFzYILy1XhnAwQTw,Tempe AZ 85281,TRUE,Party Supplies Event Planning & Services Party & Event Planning,3,Affordable Party & Event Rentals,33.436665,-111.940325,5,,
-aDuOZelvBHWKh-NrXooow,2737 W Thunderbird Rd Phoenix AZ 85053,TRUE,Sandwiches Restaurants,13,Port of Subs,33.609811,-112.119194,4,,
-AEvCwVegPstHNAkhds-UA,1854 S Val Vista Dr Mesa AZ 85204,TRUE,Women's Clothing Fashion Shopping Accessories,3,Hottie World,33.38143,-111.756867,4,,
-B55j4VAqKcxCQz2T1obJA,4540 E Baseline Rd Ste 108 Mesa AZ 85206,TRUE,Doctors Health & Medical Pediatricians,5,Gilbert Pediatrics,33.401362,-111.728268,2.5,,
-Bb1Xwd677TBSIPjw4x7oA,857 N Dobson Rd Mesa AZ 85201,TRUE,Department Stores Grocery Fashion Shopping Food Mobile Phones,19,Walmart,33.432086,-111.864778,2.5,,
-bd26a1QEEpqUZjBmtBUiQ,849 W University Dr Tempe AZ 85281,TRUE,Ethiopian Restaurants,179,Lalibela Ethiopian Cafe,33.421909,-111.950685,4,,
-BQHw828VNrNZ7LtFnFJCA,18625 N Reems Rd Surprise AZ 85374,TRUE,Tires Automotive Auto Repair,3,Fletcher's Tire & Auto Service,33.653328,-112.375846,5,,
-Bt99QgCCzmoZbchuDG_ew,2651 W Guadalupe Rd Ste 202 Mesa AZ 85202,TRUE,Arts & Entertainment Cinema Social Clubs,4,Valley Movie Group,33.363559,-111.890896,5,,
-b_VjHZmA7-8LVWp6z36VA,2707 E Broadway Rd Phoenix AZ 85040,TRUE,Burgers Mexican Restaurants,21,Mim's Burger & Mexican Food,33.406834,-112.023595,3.5,,
-cKWUXE-16M1R15UOt6sqQ,7014 E Camelback Rd Scottsdale AZ 85251,TRUE,Women's Clothing Men's Clothing Fashion Shopping Accessories,13,Banana Republic,33.502594,-111.929676,3.5,,
-cy8EpdXs44iT3FR4En0QA,20851 Rittenhouse Rd. Ste 101 Queen Creek AZ 85142,TRUE,Delis Fast Food Sandwiches Restaurants,19,Firehouse Subs,33.254911,-111.633565,4,,
-CYr479M7Y49UqIPwFcjEg,23425 N 39th Drive Suite 106 Glendale AZ 85310,TRUE,Food Coffee & Tea,4,Starbucks Corporation,33.699198,-112.142065,5,,
-CZ78c-H3tTxpP-uQ09CWw,2817 S 46th St Phoenix AZ 85040,FALSE,Plumbing Home Services Contractors,3,American Dream Plumbing Heating & Air Conditioning,33.421231,-111.982371,4.5,,
-d1I0dwtCg1IIjnI3DZ38Q,4044 S 16th St Phoenix AZ 85040,TRUE,Mexican Restaurants,6,Susie's Mexican Cafe & Lunch,33.408843,-112.047101,3.5,,
-dAVih5pWe7DEohm3tF69A,4760 E Thunderbird Road Phoenix AZ 85032,TRUE,Local Services Dry Cleaning & Laundry,3,Summit Cleaners,33.61179,-111.978358,3.5,,
-DGbZCnfEiHUy-ksKeJ72Q,1400 S McClintock Tempe AZ 85281,TRUE,Bars Restaurants American (Traditional) Sports Bars Nightlife,10,Starters Sports Bar and Grill,33.413399,-111.909728,3.5,,
-dRR_A0y3EfW83CrKxXTQQ,21703 E Calle De Flores Queen Creek AZ 85142,TRUE,Home Services Heating & Air Conditioning/HVAC,4,Angel Air Cooling & Heating,33.234537,-111.615091,5,,
-dz2h55a0SdnBJEXQm9CAQ,700 W Ray Rd Gilbert AZ 85233,TRUE,Veterinarians Pets,7,Prestige Animal Clinic,33.321564,-111.804857,3.5,,
-E6XYf1ce1NCtV3QQI-3xA,1434 S Alma School Rd Fiesta Mall Mesa AZ 85210,TRUE,Seafood Steakhouses Restaurants,5,Longhorn Steakhouse Mesa,33.389011,-111.844019,4,,
-EctXOb3B7T177jGYUhjVA,530 W Broadway Tempe AZ 85281,TRUE,Pubs Bars American (Traditional) Nightlife Restaurants,139,Boulders On Broadway,33.407561,-111.947525,4,,
-eE4PAWu5FBRnAvbIMzWqg,6316 N Scottsdale Road Paradise Valley AZ 85253,FALSE,Restaurants,4,Quilted Bear,33.529798,-111.925816,2,,
-eim7j3MfRWxhatv-udhYw,7120 N 12th St Phoenix AZ 85020,TRUE,Gardeners Shopping Nurseries & Gardening Home Services Home & Garden,4,The Urban Farm Nursery,33.540151,-112.056553,5,,
-EOZn5fbMKUo_3QEDFfedQ,2626 E Pecos Road Chandler AZ 85225,TRUE,Colleges & Universities Active Life Education Trainers Fitness & Instruction,6,Chandler-Gilbert Community College,33.292754,-111.796167,2.5,,
-ev01HlCKf7CYsh8ZXG_7w,2442 E Camelback Rd Ste 8 Phoenix AZ 85016,FALSE,Bakeries Food Pet Services Pets,8,Three Dog Bakery,33.509445,-112.029069,3.5,,
-Ez-Awbe41Tq8rNItBdA-A,2222 E Highland Ave Ste 425 Phoenix AZ 85016,TRUE,Sports Medicine Doctors Orthopedists Health & Medical,3,Arizona Orthopaedic & Sports Medicine Specialists,33.506368,-112.033568,2.5,,
-F9-dpfu6eVuS7HGs1ptsQ,5000 S Arizona Mills Cir Tempe AZ 85282,TRUE,Department Stores Fashion Shopping,11,Neiman Marcus Last Call,33.383123,-111.964485,3,,
-fgp41smAIXPBzmWzpY1aQ,5960 W Bell Rd Glendale AZ 85308,TRUE,Department Stores Fashion Shopping,5,Stein Mart,33.638757,-112.1879,4,,
-fIGHIUdHX-T_ZGh2IQz4Q,7000 E Camelback Road Scottsdale AZ 85251,TRUE,,4,Gucci,33.502316,-111.927658,2.5,,
-fpBB1Oa7fVi7liNUd8qow,3825 W Ray Rd Chandler AZ 85226,TRUE,Active Life Amusement Parks Nightlife Bowling,4,AMF McRay Plaza Lanes,33.319866,-111.908631,4.5,,
-fsCfTYEnJ4s6yStgBnQig,14202 N Scottsdale Rd Scottsdale AZ 85254,FALSE,Arts & Entertainment American (New) Caterers Event Planning & Services Cinema Restaurants,46,Farrelli's Cinema Supper Club,33.615158,-111.926433,4,,
-ftQeUsqwDkExRg6IYrubQ,717 W Union Hills Ste 1 Phoenix AZ 85027,TRUE,Greek Mediterranean Restaurants,105,Chicago Gyros,33.654353,-112.08358,4.5,,
-Fv9yPpyBd2Ophih6b2mTw,4515 N 16th St Ste 102 Phoenix AZ 85016,TRUE,Tanning Beauty & Spas,7,Celebrity Tanning,33.503024,-112.047179,4,,
-g5leVOzKA33Ruabe2Zo9w,1605 S Gilbert Rd Gilbert AZ 85295,TRUE,Food Desserts Barbeque Restaurants,12,B&G Caf?,33.334868,-111.789581,2.5,,
-gefwOTDqW9HWGDvWBPSMQ,18 W Monroe St Phoenix AZ 85003,TRUE,Nightlife Irish Arts & Entertainment Music Venues Restaurants,127,Seamus McCaffrey's,33.450457,-112.074344,3.5,,
-GPiLRLH0MWH6Pjs0WDglg,7606 W. Bell Rd. Glendale AZ 85308,TRUE,American (Traditional) Steakhouses Seafood Restaurants,11,Black Angus Steakhouse,33.638337,-112.222939,2.5,,
-Gse8l_ec33gkWgotCLsew,1721 E Warner Rd Tempe AZ 85284,FALSE,Chinese Restaurants,7,The Magic Wok,33.334634,-111.913015,4,,
-GYx5GAx_-4XEsn7mFwdkA,1636 S Stapley Drive Mesa AZ 85204,TRUE,Burgers Restaurants,11,Red Robin America's Gourmet Burgers & Spirits,33.383884,-111.805901,2.5,,
-h-q6zTIdPlkz9BDP11sBg,2502 E Camelback Rd Phoenix AZ 85016,TRUE,American (Traditional) Restaurants,145,Seasons 52,33.510207,-112.027204,4,,
-H0JvSyF8r8vGDEBjRNArg,1468 N Litchfield Rd Goodyear AZ 85395,TRUE,Hair Removal Beauty & Spas,3,European Wax Center Goodyear,33.462857,-112.358195,3.5,,
-h1WpfgqAmJcJDqyXXJ2og,6455 E Southern Ave Mesa AZ 85206,TRUE,Burgers Restaurants,13,Fuddruckers,33.393863,-111.692266,4.5,,
-h9LochyBgKpsLwNXfTiOw,5010 W Olive Ave Glendale AZ 85302,FALSE,Barbeque Restaurants,9,Phoenix BBQ & Deli,33.567498,-112.167096,3,,
-HADyd0_rgt7PzZ-HWHTiQ,2840 W Chandler Blvd Chandler AZ 85224,TRUE,Veterinarians Pets,6,Banfield Pet Hospital,33.307711,-111.890393,3,,
-hQ8iZygzi0iiTFUkHgiEA,1628 E Southern Ave Ste 2 Tempe AZ 85282,TRUE,Food Bagels,45,Back East Bagels,33.392998,-111.912764,3.5,,
-HSVYFf0h868QQnLMHZWNw,8408 West Paradise Ln Peoria AZ 85382,TRUE,Swimming Pools Venues & Event Spaces Event Planning & Services Active Life Hotels & Travel Hotels,3,Hampton Inn,33.635686,-112.235956,3.5,,
-HvPJuXZ4rnHCZZxQGus_g,9299 W Olive Ave Peoria AZ 85345,TRUE,Plumbing Home Services,6,Brothers Plumbing LLC,33.564195,-112.258494,2.5,,
-hWSt4JO2zT7zd7QzLZY9Q,16572 W Greenway Rd Bldg C Ste 101 Surprise AZ 85388,FALSE,Food Coffee & Tea,6,Over Coffee,33.623982,-112.415966,4.5,,
-hzkQ8YIkExQse3vX0HOcg,4306 N 7th Ave Phoenix AZ 85013,FALSE,Soul Food Cajun/Creole Southern Restaurants,7,Lil' Mama's Soul Food Cafe,33.498858,-112.083502,3,,
-I3Cu9rLQXtL5us5wdy8tA,6030 S Kings Ranch Rd Gold Canyon AZ 85118,FALSE,Delis American (Traditional) Barbeque Restaurants,3,Open Range Deli and BBQ,33.360621,-111.442431,2.5,,
-IEBe1UpCz8-dTAp8_fClw,8787 N Scottsdale Rd Ste 102 Paradise Valley AZ 85253,TRUE,Mexican Restaurants,20,Garduno's Margarita Factory & Blue Agave,33.546,-111.96828,2.5,,
-ijqzP5H4UCk2CEa6RRKQA,21001 N Tatum Boulevard Phoenix AZ 85050,TRUE,Sporting Goods Shopping,3,Sports Authority,33.678615,-111.974607,4.5,,
-iJZ-PEnOw2oVUBFfg5wJw,221 N Litchfield Road Goodyear AZ 85338,TRUE,Pet Groomers Pet Services Pets,3,Doggie Door,33.448357,-112.357061,3.5,,
-IptYYZVDxgJgDB_eHJo1A,4055 S Arizona Ave Ste 5 Chandler AZ 85248,TRUE,Day Spas Beauty & Spas,4,Signature Nail and Spa,33.246762,-111.840966,2.5,,
-iyXLstr5tP_oPdxDQjKHg,830 E Greenway Pkwy Ste 103 Phoenix AZ 85022,TRUE,Women's Clothing Fashion Shopping Accessories,3,Brown Eyed Girlz Boutique,33.637849,-112.062791,1,,
-J0jhpG0rv4saq9OMh8gXw,891 N Val Vista Dr Ste D101 Gilbert AZ 85234,TRUE,Food Coffee & Tea,6,Seattle Espresso,33.366715,-111.756112,4.5,,
-J4WRDa3ejlIHl0LTTsWng,888 E. Clinton Street Phoenix AZ 85020,TRUE,Home Services Real Estate Apartments,4,Promontory Pointe Apartments,33.583199,-112.062162,2,,
-JaNk2DOQdpjTl5Bu-iehg,21001 N Tatum Blvd Ste 1630 Phoenix AZ 85050,TRUE,Pet Services Pet Stores Pets,3,PetSmart,33.678615,-111.974607,4.5,,
-jBymA8tI-WURtSBcuUdXQ,408 W Juanita Ave Mesa AZ 85210,TRUE,Fast Food Sandwiches Restaurants,8,Schlotzskys,33.382694,-111.84056,4,,
-JL0CWSLkkzFHZXlctnf8A,1410 East Southern Ave. Tempe AZ 85282,FALSE,Buffets Salad Restaurants,51,Sweet Tomatoes,33.393104,-111.914979,3.5,,
-JpZiiGPKOuCEiODGNyovw,3400 E Sky Harbor Blvd Suite 3300 Phoenix AZ 85034,TRUE,American (Traditional) Restaurants,5,Wendy's Old Fashioned Hamburgers,33.435463,-112.006989,3.5,,
-JxBD4rhbIXW3R5CFNox0w,6425 E Thomas Rd Ste B Scottsdale AZ 85251,TRUE,,5,Arcadia Window & Door,33.480087,-111.941929,3.5,,
-JYWpdJfMkqCTA_7fyz6Cw,2525 S Rural Rd Ste 2S Tempe AZ 85282,TRUE,Health & Medical Dentists General Dentistry,4,Alameda Dental Care,33.40165,-111.925736,4,,
-K0cHLEnUl5PzTU9XiGoNQ,10220 W McDowell Rd Ste 130 Avondale AZ 85392,TRUE,Day Spas Beauty & Spas Nail Salons,3,Aloha Nails & Spa,33.464708,-112.279772,4.5,,
-KcEUiwXi4uHoa6VV6KMuA,7221 East Princess Blvd Suite 118 Scottsdale AZ 85255,TRUE,Beauty & Spas Hair Removal Laser Hair Removal,4,Ideal Image,33.64662,-111.925092,2,,
-KEU36ohRQb19mrbA65Y3Q,2957 W Bell Rd Phoenix AZ 85053,FALSE,Breakfast & Brunch Restaurants,25,The Good Egg,33.714327,-112.139833,3.5,,
-KF9RQPkmIOHfE0tzUu9bg,2910 N Hayden Rd Scottsdale AZ 85251,TRUE,Food Donuts,25,Dunkin Donuts,33.480996,-111.909292,3.5,,
-kVXDEqGHOWKxQ3EhvFgVA,14747 N Northsight Blvd Ste 116 Scottsdale AZ 85260,FALSE,Mexican Restaurants,12,Kokopelli Mexican Grill,33.618788,-111.897406,3.5,,
-KzyOiFK4SM9I1vmuTSsuA,4816 E. Ray Rd Phoenix AZ 85044,TRUE,Food Grocery,6,Fresh & Easy Neighborhood Market,33.319951,-111.979628,4.5,,
-L39pGMPP1kM3DI0Z0oZSw,120 E Taylor St Phoenix AZ 85004,TRUE,Food Coffee & Tea,8,Starbucks,33.453507,-112.072278,2.5,,
-lDo_9oU_xna4_idQP1r4A,4415 N Civic Center Plz Scottsdale AZ 85251,TRUE,Hotels & Travel Event Planning & Services Venues & Event Spaces Hotels,77,Hotel Indigo Scottsdale Boutique Hotel,33.501142,-111.921315,3.5,,
-lOSaCuBRAvX5JBifx-EMw,455 N 3rd St Phoenix AZ 85004,TRUE,Mexican Restaurants,53,Mi Amigo's Mexican Grill,33.452796,-112.069318,3,,
-luJmoJUWtS4iQh7Bbbblw,5066 West Olive Avenue Glendale AZ 85302,TRUE,Delis Restaurants,7,HoneyBaked Ham,33.567784,-112.167253,3.5,,
-LunygEblxqpInmp6N801A,Phoenix AZ 85018,TRUE,Carpet Installation Home Services Carpeting,3,Carpet World,33.50667,-111.993982,3.5,,
-M1rR1Ip7NOlMn5EbUkuog,11425 E Via Linda Scottsdale AZ 85259,TRUE,Restaurants,4,McDonald's Restaurants,33.588985,-111.835492,2,,
-Mf4I8Jr_Vly37Z3Mgf0zQ,409 N Scottsdale Rd Scottsdale AZ 85257,FALSE,American (Traditional) Restaurants,10,JJ's Sports Cantina,33.452268,-111.926128,3.5,,
-mLcpJYfX8tw8LR9bq018w,20928 N John Wayne Pkwy Ste C1 Maricopa AZ 85239,TRUE,Buffets Chinese Restaurants,14,Great Wall Restaurant,33.069076,-112.045814,3,,
-mz0Zr0Dw6ZASg7_ah1R8A,27 W Madison St Phoenix AZ 85003,TRUE,Chinese Restaurants,45,Sing High Chop Suey House,33.446088,-112.074128,3,,
-N-p0OsSDyrBSatf0jXdVw,10006 W Happy Valley Rd Ste 1201 Peoria AZ 85383,TRUE,Active Life Martial Arts Gyms Trainers Fitness & Instruction,4,Knockout Fitness,33.712881,-112.274609,5,,
-N6XWiSuFKv-AXT7C3n6Yw,2310 E Highland Ave Phoenix AZ 85016,TRUE,Hotels & Travel Event Planning & Services Hotels,20,Hampton Inn Phoenix-Biltmore,33.505864,-112.032213,4,,
-NbEHP2GHFNb5PnmJnd4qQ,3111 W Chandler Boulevard Chandler AZ 85226,TRUE,Women's Clothing Men's Clothing Fashion Shopping Accessories,3,The Buckle,33.305681,-111.897553,4,,
-nC13Bk7eJJN1likqJRY1w,4414 E Camelback Rd Ste 106A Phoenix AZ 85018,TRUE,Active Life Pilates Fitness & Instruction,11,The Body Lab,33.509545,-111.985669,4.5,,
-NGrzJp0dX5pK3qdGSaspw,756 S Gilbert Rd Gilbert AZ 85296,TRUE,Hair Salons Beauty & Spas,9,Cool Cuts 4 Kids,33.335942,-111.790625,4.5,,
-nHYKkSJuQ7zzFZ1veRfPg,10608 N 32nd St Phoenix AZ 85028,TRUE,Chinese Restaurants,16,Little Peking,33.582851,-112.013108,4,,
-njvGjJacPJMJ9YWSr6G3Q,7318 W Indian School Rd Phoenix AZ 85033,TRUE,Active Life Skating Rinks,3,Rollero Family Roller Skating Center,33.495195,-112.216864,2.5,,
-nmr-3l0EmQaZAGEoXgk4w,7272 E Indian School Rd Scottsdale AZ 85251,TRUE,American (Traditional) Restaurants,4,Pacific's Cafe,33.495574,-111.924461,3,,
-nPwp-pg-pTEO2nqo1h_lg,7700 W. Arrowhead Tn. Ctr. 1079 Glendale AZ 85308,TRUE,Arts & Entertainment Cinema,11,AMC Arrowhead 14,33.642438,-112.225299,2.5,,
-NrEcXQ0qioMwkRsgoq8Kw,3303 E Baseline Rd Ste 108 Suite 112 Gilbert AZ 85234,TRUE,Property Management Home Services Real Estate,4,Brewer Caldwell Property Management,33.37876,-111.760998,2,,
-nWigG5EhFLjdSgGZthS3Q,2333 E Thomas Rd Phoenix AZ 85016,TRUE,Hotels & Travel Event Planning & Services Hotels,24,Embassy Suites Hotel Phoenix-Airport At 24th Street,33.480017,-112.031501,3.5,,
-N_i2F9BDyIt9e1iihVr1w,1628 E Southern Ave Phoenix AZ 85040,TRUE,Food Specialty Food Seafood Markets,4,La Croix Louisiana Fish Market,33.393334,-112.046399,4.5,,
-O7H5LhBkE13VQZB0QZI0Q,680 S Mill Ave Tempe AZ 85281,TRUE,Bars American (Traditional) Nightlife Restaurants,52,Fat Tuesday,33.424008,-111.940187,3,,
-ofo_NSFpx6u8WBOWr86XQ,1855 E Southern Ave Mesa AZ 85204,TRUE,Tree Services Home Services,5,Tree Doctors,33.393183,-111.79113,4,,
-Ogv7rpcgUHkFaSy3vD8Sw,4909 E Chandler Blvd Phoenix AZ 85048,TRUE,Buffets Chinese Restaurants,61,Hong Kong Gourmet Buffet,33.304138,-111.978392,4,,
-OjA9Wvnn-XExG-9Djj2og,1945 E Camelback Rd Phoenix AZ 85016,TRUE,Men's Clothing Fashion Shopping,3,Men's Wearhouse   ,33.509072,-112.040974,3.5,,
-p-9eBYvts8tcalo5IWOKw,4513 N Scottsdale Rd Scottsdale AZ 85251,TRUE,Tex-Mex Restaurants,28,Chipotle Mexican Grill,33.503372,-111.925633,4.5,,
-p9-E-KTtQRJM0nV9rx6pQ,13811 S Val Vista Dr Gilbert AZ 85296,TRUE,Pet Services Pet Training Pet Boarding/Pet Sitting Pets,7,Born To Run,33.321993,-111.755507,4,,
-PA_1J9JzxLcluTOw2gZjw,15560 N Frank Lloyd Wright Blvd Scottsdale AZ 85260,TRUE,Hawaiian Barbeque Restaurants,20,Ono Hawaiian BBQ,33.629192,-111.889479,3,,
-PisznY2s13FyX3tASY4aA,5555 N 7th St Phoenix AZ 85014,TRUE,Hardware Stores Shopping Home & Garden,12,Ace Hardware,33.517587,-112.064795,3.5,,
-PoxCIqlN6tX98AxC0aPTQ,1118 E Southern Ave Mesa AZ 85204,TRUE,Food Grocery,25,Pro's Ranch Market,33.39348,-111.808286,4,,
-pW4bAhmTvY3UVkroQcUQg,6107 N. Scottsdale Rd. Suite C-102 Scottsdale AZ 85250,TRUE,Health & Medical Chiropractors,4,The Joint ...The Chiropractic Place,33.519588,-111.909524,5,,
-QdMyyV-GY3qXcXuLiqVqg,45 E Broadway Rd Tempe AZ 85282,TRUE,Beauty & Spas Nail Salons,7,Nancy's Nail Salon,33.407423,-111.938832,4.5,,
-qv60txNVfg5pJ0b0w-QJw,414 S Mill Ave Ste 119 Tempe AZ 85281,TRUE,Food Specialty Food Candy Stores,24,Candy Addict,33.425938,-111.940346,4.5,,
-qVT-HznnQMPdgFuRYbyVw,668 N 44th St Ste 188 Phoenix AZ 85008,TRUE,Food Ethnic Food Grocery Specialty Food,4,Super L Ranch Market,33.455291,-111.98787,3.5,,
-q_VodbABJygOSuv86LOtw,1830 W Glendale Ave Phoenix AZ 85021,FALSE,Soul Food Restaurants,9,Chik A Ribs,33.538647,-112.098783,3.5,,
