user_id,name,average_stars,review_count
-9UkppgnOQGGbKdvppauTA,Russell,5,1
-A0CPl7ipFe0HNfSGIyrYQ,Shlomit,3.5,2
-a7d79eTKvmkpHZT7ePYDQ,Sanford,3.56,146
-a8cJNSuvaG1kSW4YSO8pg,Mark,3.54,92
-aC9yjLB8NFpBliJnUMQnw,Lorenzo,5,1
-aCl04VaJ4FWzo7y2diKZg,Alex,5,1
-Ad6HgR4EhurYmv6OcRATA,Jeff,2.91,34
-AEb2--3MFnAzAsCFAiHjw,Erica,5,1
-AEhfe6S3shzaRVBxENVCQ,Michele,3,1
-AEuEOee3vpMqAftPI4ATA,Adam,1,1
-aHmV2n2px1qlVNhL7k4FA,Rebecca,5,1
-AKK1O5bDbgj9AKS7NTA8Q,Jan,5,4
-AMNoL4zzPlvnfTutTSTug,Jerry,1,2
-AnjfTeA4379FWfjoPKA0A,Skye,4.2,5
-AqSOlTs1_1pawyCD-78IA,Jennifer,4.15,53
-aRQ8qCcR5N_RnuznkDl_A,Shannon,4,2
-atx77HMI0bXd-iG8G7Wag,Joni,2,2
-aVqQ4S8_pTIR6CQTog7aw,Chunni,3.33,9
-aXSa9A_Yr3a6Gyrqich2A,Destry,1,1
-AXYYxdz_oQb1gVc4WKevQ,Joanne,3.69,13
-ayFRlzMmPJuRR1KLN_r-A,Dustin,4.5,2
-B-Hkqb-WdXhgSoh1ZIz4w,Jake,1,4
-b7cOaw9H_SnyrHir7i2hg,Team,5,1
-B7zBAQ_5PtWJHrVWpbfSA,Jennifer,4,4
-B8fZ8mrYkP6jt4SqSNivw,Katrina,4.54,13
-b8wqtfQ-25KCeXTMYY4JA,Brendan,3.72,18
-bBWxXTOqxbxS0BCIXdI0Q,Amanda,4.11,46
-bf0ZBsvUH1Pr2aeq6ibig,Andy,3.29,17
-BgwjI1BPcU8MYcBFXVeuA,june,3,2
-BhjP7Ll-zEtXvJJQ1ZKvA,maureen,3.67,258
-BIA3SfGExj9ncF1m-MvRg,Reece,1,1
-bjPcOb8hq6gpb9bmZ2QxQ,Abi,4.56,10
-bJPjSA_6lyHxZo-v7cWDw,Karen,3.23,73
-BjPRCdt8R0T19qUt8PQmA,Brian,4.5,2
-bK0Kg21nyJcjxxsehzumg,Frank,3.76,82
-bO7P1OtJBKN3rlGpolaFA,Max,3.55,22
-BQhKu4wgtZQyT3sxkqJTQ,Jason,4.67,3
-bradp-ci9iJCkFCwgx21A,james,2.92,61
-bS10uBtPvXUz2-ysabTfA,Jenny,4.64,11
-BtThTSiNxLmMrERwosd6A,C,3.89,9
-buD4Y7QX7cFebb_kferSQ,Rosemary,1,1
-bv1rUAq4jvQbQ-VzKb5RA,J,3.59,32
-BVv1TDLLphHzgKw-eAJJQ,Cori,3.49,61
-Bx-m1RskxgTeJmOgYVbug,Craig,5,1
-BxKy9CzNpByGOCTLkekHQ,Michelyn,4,1
-BYa0FX9_1xJggh8N7wofw,Chelsie,5,2
-bYL5nFZYQBlFEELOYma3g,Kristopher,3,1
-C0YDMl4xjW5_hLVU81bnA,Shri,1,1
-C3ZDndp_V7mDL9F8dvJQw,Ben,3.67,6
-C7QrSd7wi4ZTvZsp1VRyw,Michelle,4,1
-C9rJ-Kak4YgkTHwP33RIQ,Bucky,4.13,330
-Ccq8ISltxIkht_eWUVOiQ,Dan,3,2
-CDWR05g6B_32BBHSy99rQ,Victoria,5,1
-Ce96x5ZzuYyi5VN9lWpnw,Joanne,5,2
-cEcwqYd7VLZebNbB_zT1A,KnowsHerStuff,2.87,54
-cFww1UOlvYB_PObFa4DkQ,Justin,3.33,3
-cgRVFtXsNWsYYaXps2H9g,Patricia,3.61,23
-cgz6qu0nnJZ_pWX-NlScg,Karin,4.1,10
-chcwmW8Uq9YEtl6h7ub6w,Nelson,4,11
-ChPwsaajWKxkZ2oU0k8FA,Amber,3.75,9
-CKrHtda1TSEySu9wrmr1A,Jim,4,221
-CKutXMmEuP47OJX0uJSUg,Roy,3.8,71
-CL7GQLQ1kOGCpstAkcLdQ,Jen,1,3
-cms2ELbzY2rSyGCVcioUQ,Darrel,4,30
-co-hcyX_zuLcyUzUPWYcA,Jeff,2.82,13
-CpnuCuGseUZCiAOHvQkCg,Robert,4.5,6
-cscgA-lVPipPwEX4RmcgQ,Shelley,3.97,398
-CTaieycDFnow383yyvzzA,Mari,3,2
-cuzZPLeCXBp2_TsIzy9yA,Sandie,3.63,391
-cV9EY-f8OQKLP1-eiKvIw,Rachel,3.67,9
-cwt2Q7NSOjOiQLXcTOGdg,Thomas,5,1
-CyBQG3dc4UnpluY7UdMOA,dawn,3.82,11
-czR3GPJPDwKx9uFGSowWA,Shannon,4.17,7
-C_WmWe4ZlqScasDkkPmyw,Lynden,4.25,4
-d0M53vRvvZ_ZXL0nWbH5Q,Jaclyn,3.5,8
-d12fQpJ6XhN-hPzxeStCg,Kelly,5,1
-d20QLhOPOAqkSno_0eRLg,Link,3.86,7
-d73R3VfdG4Xd00RijsFsw,Lester,3.77,332
-D79mfxoHQFwSjsaK2upZA,p,3,2
-dBokyy3ixXr7lnJgla_aQ,Rachel,2.48,96
-DBw-PQjw3gYzcSsShVEog,Matt,3,2
-Dc9up-WyQ6XrYTjmL3GaQ,Jane,4.29,17
-DDCNxdtYwg2iQ-B0nmfGA,Christiane,2.6,7
-DeCQuW9k4ty53ThD_bXkQ,Jeremy,3,2
-dESb2jAPYgG9yK6QE8H2A,lucky,3.23,53
-dF9A2Q3L8C0d2ZyEIgDSQ,Jo-Ann,5,1
-dFcagBBzatMnOaYCjCv5g,Veronica,4,1
-dFCvDP0jCgy1YrFIHQDmQ,Tam,1,1
-DFfcGci_MGco8BsnBjQtg,Terry,4,6
-Di4b_ITYZCDmqEarzJPrQ,John,4.04,25
-dIzdAyOMVRAPmPv8imPsQ,Bud,4.67,3
-Do-a2vqE9EoXtnV-TZEBg,Peter,3.93,158
-Do59CeyL6UC-VRqHQNqOw,Cori,3.67,3
-Dof9NwAoQwRM-GVPZk5zw,Kym,3.86,110
-DRza4wuHHWfQx5HcG6qaw,james,3,21
-DZ_Q3MqjtcnlJOzs5CvnA,Benjamin,3.81,85
-e05nnRNiUF_72rHS52Swg,Lan,3.83,176
-e1hl4th2OrxDw3aRIrYpg,Chase,3.29,7
-E6yYsngVZqIUHlX856sbw,Valarie,3.94,250
-e83C6KhrV14LcY-D-R9uA,Elizabeth,4,1
-eB0ODD9xBblg7f8PhP8Gw,Lola,2.47,20
-eBbTS6AhDEeLPCTBvXTxg,Iris,3.6,10
-ecVgrGccs-6VmBzbwnvYA,Michael,5,1
-EFuxDYchSSVkb4Q9Iivpg,Krislord,3.83,12
-ehQ1_AnMxqf4IM0wJltrg,Wade,5,1
-ehXkDOouTDeKFrq72yO7Q,Juliana,3.76,317
-eIsz3-MIQT6ueiM4MusHg,Jessika,3.06,17
-epzt8FxcDDulNfWflQzFA,Anh,4.04,123
-eu6RCy7D5mqm69aeELM6w,Lorelei,3,3
-EwkFjCJoWbDVXNlez4LzA,Ricole,4.33,9
-Exybtwohs_2FZ3j_Oo91g,Danny,4,5
-EyEj5BujVFisco6OwmR8A,April,3.77,110
-ezIxSw-wSBg7cNwjjb3cg,Christina,4.15,13
-F32Vl8Rk4dwsmk0f2wRIw,Maurice,3.84,367
-F71kJ3oGL9SJUvBTDNovw,Hillary,5,1
-f7ot4aPqpIyydms4wbZsA,Paul,3.25,4
-f9P0CIUrw3BhBDmiudirA,Mindi,2.33,4
-fBKJ9cAfNztHdvxPbqCcg,Peace,3.71,131
-ffIeJ1DjUS63qQaBGY2iw,Bob,4.12,8
-fhkLP6B7BDAZ1jBrAfwwg,Jose,3.28,25
-Fi7zyYkdWrrChGRF4mIBQ,Alex,4.15,16
-FiTp3bcQ27BBtDIO9_TcA,Alan,3.56,9
-FkQza9zDG0ugRSM4FLbHQ,Ivy,3.57,100
-flk3mw_ToHZFszsgFimGA,Keri,4.4,5
-fLNSrmT9BGrrkXdvC0aPQ,Kelly,3,2
-fmRNyMkziYBpepZatdNZg,L.,2.91,12
-FouU_1e6LfLY9_IQ-9qgg,Sangeeta,3.15,53
-FPIpc23bY0cG0JqQEHu_w,sam,3.75,44
-FpJ2cYA2Z8M1eE1J0jPQQ,David,4,4
-FVaqIGzb8Pq93N7s6BnSg,Megan,5,1
-fvPiSrXk-Bv79WYgWhx8Q,Dan,5,1
-FxraHMHSNIaxoI_f53PvQ,Shannon,4.25,4
-F_CmrMZP7DHcm5drR9t2g,Michael,3.33,21
-G3nW2FGLwzqaOqmyKz0-A,Jennifer,3.66,91
-g7SqhBn-Sv9Ohgx3RnS9w,Jen,4.5,2
-gdDH8SMQ01tOMlUvhMcgw,Rob,4.5,7
-Gdjho_gZhgTXkYmSPy0qw,Meghan,3.48,234
-GHcBHGAvqL_UAZEFvMfaA,Keith,5,1
-GhiIOHXIxlQuy8BjSTSRg,christine,1,3
-GIDUBC5K20rgDDLiwDCUg,John,3.5,2
-giHUAZjyyvxrIqBsPUY6A,Earl,4.2,5
-gIzpT69OfDeuQ_iQVpEkg,Lisa,3.8,5
-GNcVLtPu1QlJ07cMRe4zw,Jaime,3.79,91
-Go_3E4riSChuiU4Mn-KZg,Kim,3.08,26
-gr5bu293R-shVdacysRGw,Chad,3.8,12
-GTk-oaB3YevXCvu4QOtag,Dave,3.78,86
-Gu3ZZ8FLVxomzlQ98BIBQ,Jeanette,3.42,13
-GuI1BlfyPGhvgYXA4LhSA,Tom,3.17,7
-GUTaLvi4SP74R1y7G72Og,Jessica,1,1
-GUY5oTtKJf39CJjhrjGyA,Kristy,1,2
-gYewpdhOiHPMQeV-dvieA,Drea,3.74,27
-Gylxh4yUIsUbOeXyrqeHQ,Sue,3.52,23
-GYSHHxHYd6uTrqlTw_OGg,Gar,3.82,12
-h-Bq7NL14KD2O6l3ddHTw,Rhea,4.33,5
-H1Tpjht7XhMB-o3Y9qFQg,Joop,3,6
-H32CIRC_mi5XFviw5-GTg,Diane,4.4,10
-H7hd6l1GIEyyAWe0uCybA,Richard,3.98,53
-H7ZKpT8VZp1i4f7XaddDw,Dottie,4.43,7
-HCx0IAGr_CzGJ0SetjkPA,J,5,2
-hgXtHsLT7v7qen7l4PyYA,Chad,5,1
-HH-r5DncFtjz8s0PYjqrA,Steve,2.33,3
-hjiBqG-LOCOmkeYp_Dduw,Katrina,1.5,2
-hK-GQ2OBxneL9Rh6P5k1g,Laura,4.2,5
-HKgcpX2B-vAYjBmnT__4Q,Dennis,3.2,5
-HNWRq-i2OS19IDjsUlxdQ,Dev,3.57,182
-Hpsh7VmZJgpPGYBzaA_lg,Meg,3.78,41
-hSR7FBYtpooymes5SBXXA,Pat,5,2
-hSy455NBx_lQ3SeQioq2Q,Dennis,3.65,26
-HT8eKrYjS97u8qRsd5C4w,Steve,2.75,8
-huJ4ZAZGXww81eTw2IUOA,Dana,5,2
-Hv0mbeVlO2nB-6cYcfFMg,Ronney,4.11,19
-HwaTANDcDSsDz1PzU3Erw,Lynn,5,2
-HXmLPAkRt1pwqwgAV8JAw,D,4.17,6
-i2t7WMFOAujFAUBhxpknQ,Gregory,4,2
-I3dVtxwrgzqYFtRSrcYFw,Rachel,4.27,74
-iArS6zaHaXYjT20N1vXhg,Pat,3.19,28
-ICtAPihVqwEc3414vbekw,Jason,3.8,15
-iEO1kEfRGS3rsR54-6eUw,Nathan,4.67,3
-iEwUutRc4pfoa_Y2gAJtA,Adam,3.7,10
-IKlaySH3coKetmFAH_Rlg,Tony,4.14,7
-iKXQ6b_Pn0ct1ZhD8hJ1A,Andrea,1,2
-iN2QUFlu69B-ntz7ODZXQ,Janet,5,2
-ip4FPtUvKel_FHb3mkpcw,Maxine,4.1,99
-iP5virnxrYp5e2M4ixUgw,Joshua,1,1
-ip7W6ycYH5Xm5-uz_QGug,Scott,3.42,26
-IQPD7ZO9n7iwUeHBhLJ9A,Lisa,3.07,94
-ir6oEzlRuhGXej6qN9IjQ,Daniel,4,1
-iUnAEpltJi0MCjmWrPu9w,Brian,4.5,10
-iyd_4N83C4QgojK9wYpmw,Jon,4.67,3
-IZyVTYmAwBIX1XpZGY3_g,Marcus,3.33,7
-J06hZ3w7N2oV5QwaAjtwg,Nikki,3.7,44
-J1QRkMK2O48hqkdO7TlBw,Tangela,3.14,22
-j235MyR3UtGFN6UOHRPiQ,Sheera,1,3
-j34PeXTUjIMVi94Aew-KA,Jay,3.86,15
-jA5I_6DQaoG1Qj2gsc-CQ,David,5,1
-jAGLVmXoUPSumV4ORCZEg,Erin,2.67,15
-JaGS3JW1ObiTAvSoSFsAg,Angie,4.3,10
-JalbCRL7wSx6UyRijZtMw,Shea,5,3
-jbU3CRzxS2uT7PxhlFSNw,Jonatan,4.88,8
-JCoLGhZ4HQ-WDbS-BAr6g,Chris,5,4
-JCz23DksK1RarHxp03-Gw,jason,3.86,7
-jgGsPzZ4W2TyGh7KOwl9Q,Eric,3.68,187
-jHdb0efMa4_1HQ7uapeDQ,Brittany,3.97,215
-Jj2EiC8B5P2opyeQQ6OQw,Joe,3.83,36
-JjElDUGDg1wHo2I-TAvKw,Stephanie,3,2
-Jjvjxu4muglo50k-5--Vg,D,4.6,5
-JJvZt30Z0xvMYqvUD1OGA,Fred,3.1,39
-Jk_Sqz_79s-AsrLRR3e0Q,Mark,5,3
-JLiC5WLQIu2usjYTNmS2w,David,3.55,354
-Jlitc3VsmwdlkJniSiqSw,Lea,4.33,7
-JlJf9qe79b07GB24-h6jA,Adina,3.88,66
-JLWPLhXK3WR4-33bJRauA,Carol,4.76,17
-jQB6aYtJqjlUQ-x8xD4Mw,Christine,1,1
-JqYtB1-ncAiBP4HchtccQ,Jennifer,3.62,16
-jTC2CzyExvwluqo0RfD5A,CK,3.34,149
-JvniBY0gYLzuSRnpG4HPA,Alexander,3.92,12
-jVqKRJ2P_LFQOfRyBpg_g,Brett,4.2,6
-jvqyHDA3QPiMRaxTu5xaw,Allie,4.03,39
-jYS3mblDIF1YNt97-RXiQ,K.,3.64,14
-K-oYsjoiJb27S45-Aj8OQ,Jana,5,6
-kAbxzX_db4PAYoRbw6r1A,Yasmin,3.94,18
-kAyBTbLEchtXri5RLPEKw,Mark,5,2
-KCR0e2Nyc7a7qvqnr9njQ,JD,3.73,149
-kdlFd-QDRFAKuokCTB-MA,A,3.71,83
-keolIyAC6L_78pJ6sY34Q,C,3.67,12
-kIvLyWpY17aRa0vPp-RmA,Aaron,4.04,109
-kj3fN9qEZa0mapkhi6uzQ,James,2,6
-KknSWSTlBBMaz9HwJcevQ,Tina,3.33,18
-kqSvM2mxO91Ge8WUPokBA,Naz,3.67,5
-KTqsRt-KamNPaFvDNwN-Q,Carl,4,2
-ku2SB6n6TOhp80Q4A1LRw,David,4.12,16
-KV5e7bFg8BipE2vnmWf8Q,Jack,4.17,6
-KwMRytEkX4FX1E28Gh4uA,cory,3.47,15
-kZV2wchIgpROYwPLWlF8A,Michael,4.5,4
-l-FgTufv4eRX-Zya2sdtQ,Nick,3.38,8
-L0i4tIcOIbAq_gPvykkLA,Nicolette,3.52,60
-l3JUkVxUj2e7Q9u42bzJA,Heather,3.87,32
-L3rbCIeDH6N0AVjXpAt6g,Martin,5,1
-L3XtvO6SqEgTrQ-NTaRTg,John,3,8
-L8mrsZBUYV8AaSZNrloew,Shane,3,4
-la6YVHqiwf2fR8o617mBQ,Chelsea,4.23,26
-lbjjQ5JZfabVFNkrmCjMQ,Libby,4,2
-LbLdarIbmCq8qyNRQ_N1Q,Edward,5,1
-lbovoPdUJykuDRDiH0Z1w,Madeline,3.54,37
-lc3eXSNmg-iJw1p0hsmCA,Lee,3.25,12
-LCMi0RvPh6gQPKOwrSB_w,Chris,5,1
-LEkTIqtiApMnc2Nx5x_Lw,Aaron,3,1
-lgy3GFL_ZvK7TgKbEXQWA,Dan,4,8
-lIkXIonjExHUSuYvJIyDg,Mark,3.61,28
-LjCA5YsvnfdNJoaL4x3Yw,Cassady,4,1
-lKbLhN7pivGN_V-yTrTYA,Danielle,1.5,4
-Ll2lk5MuVsJIBSBBnM3Tg,Ann,3.55,111
-llPwrxVbY7qkhTECgwUpw,D,2.78,9
-LMdIZ5zOsIwn2NU53e9eA,Dalia,4.4,5
-LmTXrlHEfLpDi34FVXNAg,Camille,4,9
-LojVK6pZLwVq2nlx78rrw,Erianna,1,1
-lSUv9egzYVoJpl1F_WHYw,Emily,3.96,28
-LwdsX1kAklrYx3lQ_L0Yw,Brett,5,2
-Lwe-gDnhTqgiV-E5bn3PA,Vane,3,3
-LxiwZb_82dXuMBboLgfcg,Sara,5,3
-LyWKF5Yf0yJGnb20FsBOA,Floreen,4.11,9
-LZnto8cNbazcP-J1i1d2Q,Alana,4,1
-M2_5wECY1xYxFfB2GAMSA,Patrick,4.18,38
-M3IPEX5B-qwvETd6rkKNQ,Marco,3.79,32
-m8qsQKy9jAw8gTVdu83IQ,Jayme,3.42,66
-mg0tZ8TJyv3VD7ng3VVHg,Paul,4.11,9
-mMgdN3HjPkn4Q3rLZLCfw,Robert,5,1
-MN057te_2rwqh-cdCafaQ,Sumira,4,107
-mnb6deDMAggdURfzxn03Q,Jacqueline,3.71,479
-Mr9oZsEt64j0inKvcI3UA,Denise,3.78,225
-mRrD-gBAnMKY1iJMjmUUA,E,4,9
-MSOi114rlgX2bdJifhiKg,Kelley,5,4
-MT4pBq26tYibSs42UjX-w,Craig,4.5,3
-mwSYmGuohptvOUyPv5M0g,Teddie,3.1,10
-mXcL-Zz4vciaybP2JCTNg,Paul,3,2
-mYBAEd2gLT2vMcFEhIltQ,Christina,1,1
-mYPtiK_0QGlLFUtBtEfQg,Jennifer,4.75,5
-Mz54voyGh3UUVhaBNr6IA,Tom,4,1
-N19X1Do7t4NAl65ALACGQ,Steve,5,1
-n5tKsLQ2sCBxB2URtHTPw,Kewmars,4,4
-n8xQqZuNy8jHvaeEB3KdQ,Praphul,4.57,7
-N9ZDQoMdzVio8EsGRBCkA,Dominick,1.5,2
-Nb2i10-PC0w1eL5mph1FA,Daisy,3.2,11
-Nfj9wmdsm0cbH6aIJHKsQ,Elsbeth,3.96,139
-Nh4BgpSvl-ybHsavr5iDw,Mike,4,1
-nixD-_P51FMF1h9GXBtMQ,Bob,3,16
-NK4deQXwOK6lswzKKtXDQ,Stephanie,5,2
-Nk6I9s4DxANLQjerla5pQ,Gaggandeep,3,2
-nkYxSyYTQNIlj_D3fJGag,Nick,3.5,6
-NlGZvdD6yPvhP7BJV_d4w,dan,3.65,88
-nMFhiNl5X_ZY9PY1jd2qg,Jason,4,1
-NqAzEz-AyaPqqjyYPRKkA,Judy,1.75,4
-nt-buRWQvDsbXuvhole0w,Robin,2.76,34
-nUaCb4uYRaPy0yv67R7cQ,Erika,3.81,294
-NuxZyBJ2S193lEDCLtD1A,Julie,5,1
-nwhlUT3N7-yhvvpSTLQXg,Stuart,3.58,12
-nXHRW7dTwoq-16dPMIFiQ,Scott,3.1,115
-ny7BHcXE56aLBOvoZVyXQ,Rachel,5,2
-O2fS5YEyqxzILrSxd5Ruw,Erin,1,2
-O2o0FqkVLQNmUNqQOPjFQ,Millu,4.5,2
-o3uGadqen-bc1HjMx_8Bw,Amy,3.4,93
-O4hVLxftHqWJCDFTJ_M2g,Dave,3.57,7
-o7Ix6275hT87eviwxmdkw,Jackie,5,3
-O8exEPYgJ6tjHD7sB2QRw,Amanda,4.29,7
-o9TdaR5XEs2XwcW8-5QCA,Mark,3,6
-OA0kUKXbqVhjIomFvh4Dg,Michael,3,5
-OCoU_Vs-zzzmdaPdAD1yQ,Tom,4.33,13
-oEd4V0elwPvm-m-8Yys-g,Nick,3,4
-ofYuApw0kxpLfnuSEhqUg,Jonny,4.5,2
-ojTA-_Km-ZoD0qjAj2oSA,Darrin,4.6,6
-ols51bkAFcbRVEn7IO-eA,A,5,1
-OMlS6yWkYjVldNhC31wYg,Jeremy,3.69,541
-ONVaeQC7HOPD2FicuDNng,Aimee,3.86,361
-ooAYe1cNLnLtBiIxnP4jw,Jill,5,3
-OpBpXTL0bd8mrgrySVDnQ,Lee,3.21,14
-ORNMqs8RV7sguKJbZt3lg,Tony,3.47,31
-oTYr4ZJrqaqj1Mp9sy7yw,Steven,2.98,56
-owLJrue-3j76U58nQ2m8w,Reeta,1,2
-OXNFm3dC0UYT-yA4IkrsA,Krista,3.69,93
-oxYFP2H_rOiqHzjzoGJIg,Justus,3.91,34
-Oz4_yM-0ZRAa1NmIIacGA,Sandi,5,5
-OZZ2_IqOVIyazlPLcZxcA,Sherie,5,4
-p0RBySYptpEM2lMKIghZA,Daniel,1,1
-P15QfETy0FsVuZ7bN5ugA,Peter,2.5,2
-P9gI1stbFvyuPUKE-dq0g,SFCAFOX,4.03,29
-P9SkvexGLSavupPHMxZsA,Cindy,3.75,8
-P9x7a0ZkmnxDoofq7UTRw,Chris,2,2
-pDdkPwZK5l47O7yu5qNxA,Alex,3.21,17
-PDpiWAxS8wsL6QbhOaf4w,don,3.25,7
